,0
1889,ILLEGAL_ATOMS
1890,ILLEGAL_ATOMS
1891,ILLEGAL_ATOMS
1893,BAD_NUM_FN_GRPS
1894,NO_RXN_TEMPLATE_MATCH
1895,NO_RXN_TEMPLATE_MATCH
1896,NO_RXN_TEMPLATE_MATCH
1897,NO_RXN_TEMPLATE_MATCH
1898,NO_IUPAC_NAME
1899,NO_RXN_TEMPLATE_MATCH
1900,NO_RXN_TEMPLATE_MATCH
1901,NO_RXN_TEMPLATE_MATCH
1902,NO_RXN_TEMPLATE_MATCH
1903,NO_IUPAC_NAME
1904,NO_IUPAC_NAME
1905,NO_RXN_TEMPLATE_MATCH
1906,NO_RXN_TEMPLATE_MATCH
1907,NO_RXN_TEMPLATE_MATCH
1908,NO_IUPAC_NAME
1909,NO_RXN_TEMPLATE_MATCH
1910,NO_IUPAC_NAME
1911,NO_RXN_TEMPLATE_MATCH
1912,NO_RXN_TEMPLATE_MATCH
1913,NO_RXN_TEMPLATE_MATCH
1914,NO_RXN_TEMPLATE_MATCH
1915,NO_RXN_TEMPLATE_MATCH
1916,BAD_NUM_FN_GRPS
1917,BAD_NUM_FN_GRPS
1918,NO_RXN_TEMPLATE_MATCH
1919,BAD_NUM_FN_GRPS
1920,NO_RXN_TEMPLATE_MATCH
1921,NO_IUPAC_NAME
1922,NO_RXN_TEMPLATE_MATCH
1923,NO_RXN_TEMPLATE_MATCH
1924,NO_RXN_TEMPLATE_MATCH
1925,NO_IUPAC_NAME
1926,NO_IUPAC_NAME
1928,NO_IUPAC_NAME
1929,BAD_NUM_FN_GRPS
1931,NO_RXN_TEMPLATE_MATCH
1932,NO_RXN_TEMPLATE_MATCH
1933,NO_RXN_TEMPLATE_MATCH
1935,NO_RXN_TEMPLATE_MATCH
1936,NO_IUPAC_NAME
1937,NO_RXN_TEMPLATE_MATCH
1938,NO_RXN_TEMPLATE_MATCH
1940,NO_RXN_TEMPLATE_MATCH
1941,NO_RXN_TEMPLATE_MATCH
1942,NO_RXN_TEMPLATE_MATCH
1944,NO_RXN_TEMPLATE_MATCH
1945,NO_IUPAC_NAME
