,mechanism,smiles_monomer
45,NIPU,NCCCCCCN.O=C1OCC(COc2ccc(OCC3COC(=O)O3)cc2)O1
46,NIPU,CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC.CCCCCCC1CCC(CCCCCCCCN)C(CCCCCCCCCCN)C1CCCCCC
47,NIPU,CCCCCCCCC1OC(=O)OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC)COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC.CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)NCCCCNC(=O)CCCCCCCCC2CCC(CCCCC)C(CCCCCCC)C2CCCCCCCCC(=O)NCCCCNC(=O)CCCCCCCCC2C(CCCCCCCCC(=O)NCCCCN)CCC(CCCCC)C2CCCCCCC)C1CCCCCCCCC(=O)NCCCCN
48,NIPU,NCc1cccc(CN)c1.CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC
49,NIPU,NCCOCCOCCN.O=C1OCC(COc2cccc(OCC3COC(=O)O3)c2)O1
50,NIPU,NCCOCCOCCN.CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC
51,urethane,OCCOc1ccc(C(c2ccc(OCCO)cc2)(C(F)(F)F)C(F)(F)F)cc1.O=C=Nc1ccc2c(c1)C(=O)N(c1ccc(P(=O)(c3ccccc3)c3ccc(N4C(=O)c5ccc(N=C=O)cc5C4=O)cc3)cc1)C2=O
52,urethane,CN(C)CC(C)(CO)CO.O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1
53,urethane,O=C=NCCCCCCCCCCN=C=O.CCCCCCC(O)CC=CCCCCCCCCO
54,urethane,OCCCO.O=C=NCCCCN=C=O
55,urethane,O=P(c1ccccc1)(c1ccc(OCCO)cc1)c1ccc(OCCO)cc1.CP(=O)(c1ccc(N2C(=O)c3ccc(N=C=O)cc3C2=O)cc1)c1ccc(N2C(=O)c3ccc(N=C=O)cc3C2=O)cc1
56,urethane,O=C=NCCCCCCN=C=O.OCC1CC2C3CC(CO)C(C3)C2C1
57,urethane,CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1.Oc1ccc(N=Cc2ccc(C=Nc3ccc(O)cc3)cc2)cc1
58,urethane,OC1COC2C(O)COC12.O=C=NCCCCCCN=C=O
59,urethane,O=C=NCCCCN=C=O.OCCCCCCCCCCO
60,urethane,O=C=NCCCCN=C=O.OCCN(CCO)c1ccccc1
61,urethane,O=C=NC1CCC(N=C=O)CC1.OCC1CC2CC1C1CCC(CO)C21
62,urethane,CP(=O)(c1ccc(N2C(=O)c3ccc(N=C=O)cc3C2=O)cc1)c1ccc(N2C(=O)c3ccc(N=C=O)cc3C2=O)cc1.CC(C)(c1cc(Br)c(OCCO)c(Br)c1)c1cc(Br)c(OCCO)c(Br)c1
63,urethane,OCCN(CCO)c1ccccc1.O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1
64,urethane,OCc1cccc(CO)n1.O=C=NCCCCCCN=C=O
65,urethane,O=C=NCCCCCCCCN=C=O.OCCCCCCCCCCCCCCCCCCCCO
66,urethane,OCC1CCC(CO)CC1.O=C=NCC1CCCC(CN=C=O)C1
67,urethane,OCCOCCOCCOCCO.CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1
68,urethane,Oc1cccc(O)c1.O=C=Nc1ccc2c(c1)C(=O)N(c1ccc(-c3cc(-c4ccc(-c5ccccc5)cc4)cc(-c4ccc(N5C(=O)c6ccc(N=C=O)cc6C5=O)cc4)c3)cc1)C2=O
69,urethane,OCCCCO.CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1
70,urethane,OCCCCCCCCCCO.O=C=NCCCCCCCCCCCCCCCCCCN=C=O
71,urethane,O=C=NCCCCCCN=C=O.O=[N+]([O-])c1ccc(N=Nc2ccc(N(CCO)CCO)cc2)cc1.CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1
72,urethane,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12.O=C=Nc1ccc2c(c1)C(=O)N(c1ccc(-c3cc(-c4ccc(-c5ccccc5)cc4)cc(-c4ccc(N5C(=O)c6ccc(N=C=O)cc6C5=O)cc4)c3)cc1)C2=O
73,urethane,O=P(c1ccccc1)(c1ccc(OCCO)cc1)c1ccc(OCCO)cc1.O=C=Nc1ccc2c(c1)C(=O)N(c1ccc(P(=O)(c3ccccc3)c3ccc(N4C(=O)c5ccc(N=C=O)cc5C4=O)cc3)cc1)C2=O
74,urethane,OCc1cccc(CO)n1.O=C=NCCCCN=C=O
75,urethane,O=C=NCCCCCCN=C=O.OCCOCCOCCOCCO
76,urethane,Oc1ccc(-c2ccc(O)cc2)cc1.O=C=Nc1ccc2c(c1)C(=O)N(c1ccc(-c3cc(-c4ccc(-c5ccccc5)cc4)cc(-c4ccc(N5C(=O)c6ccc(N=C=O)cc6C5=O)cc4)c3)cc1)C2=O
77,urethane,OCCO.CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1
78,urethane,CC(C)(c1ccc(OCCO)cc1)c1ccc(OCCO)cc1.CP(=O)(c1ccc(N2C(=O)c3ccc(N=C=O)cc3C2=O)cc1)c1ccc(N2C(=O)c3ccc(N=C=O)cc3C2=O)cc1
79,urethane,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1.O=[N+]([O-])c1ccc(N=Nc2ccc(N(CCO)CCO)cc2)cc1
80,urethane,OCCCCO.O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1
81,urethane,OCCOc1ccc(C(c2ccc(OCCO)cc2)(C(F)(F)F)C(F)(F)F)cc1.CP(=O)(c1ccc(N2C(=O)c3ccc(N=C=O)cc3C2=O)cc1)c1ccc(N2C(=O)c3ccc(N=C=O)cc3C2=O)cc1
82,urethane,O=C=NCCCCN=C=O.CN(C)CC(C)(CO)COCC(C)(CO)CN(C)C
83,urethane,OCCCO.CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1
