mechanism,polymer_name,directory,n_atoms_in_topology,Density
polyester,"poly(ethane-1,2-diol-co-4-[4-(4-carboxyphenoxy)butoxy]benzoic acid)","polymer_update/polyester/poly(ethane-1,2-diol-co-4-[4-(4-carboxyphenoxy)butoxy]benzoic acid)/trimer/1x1x1",141,1.3
polyamide,poly(4-(4-amino-2-methylphenyl)-3-methylaniline-co-5-(3-carboxy-4-methoxycarbonylbenzoyl)-2-methoxycarbonylbenzoic acid),polymer_update/polyamide/poly(4-(4-amino-2-methylphenyl)-3-methylaniline-co-5-(3-carboxy-4-methoxycarbonylbenzoyl)-2-methoxycarbonylbenzoic acid)/trimer/1x1x1,207,1.28
polycarbonate_phosgene,"poly(4,4-bis(4-hydroxy-3-methylphenyl)pentanenitrile-co-carbonyl dichloride)","polymer_update/polycarbonate_phosgene/poly(4,4-bis(4-hydroxy-3-methylphenyl)pentanenitrile-co-carbonyl dichloride)/trimer/1x1x1",131,1.192
polycarbonate_phosgene,poly(4-[2-(4-hydroxyphenyl)propan-2-yl]phenol-co-carbonyl dichloride),polymer_update/polycarbonate_phosgene/poly(4-[2-(4-hydroxyphenyl)propan-2-yl]phenol-co-carbonyl dichloride)/trimer/1x1x1,101,1.2
polyester,"poly(ethane-1,2-diol-co-cyclohexane-1,4-dicarboxylic acid)","polymer_update/polyester/poly(ethane-1,2-diol-co-cyclohexane-1,4-dicarboxylic acid)/trimer/1x1x1",87,1.22
polyurethane_isocyanate,"poly(1-isocyanato-4-[(4-isocyanatophenyl)methyl]benzene-co-butane-1,4-diol)","polymer_update/polyurethane_isocyanate/poly(1-isocyanato-4-[(4-isocyanatophenyl)methyl]benzene-co-butane-1,4-diol)/trimer/1x1x1",135,1.3
polyester,"poly(ethane-1,2-diol-co-decanedioic acid)","polymer_update/polyester/poly(ethane-1,2-diol-co-decanedioic acid)/trimer/1x1x1",111,1.09
polyester,"poly(hexane-1,6-diol-co-heptanedioic acid)","polymer_update/polyester/poly(hexane-1,6-diol-co-heptanedioic acid)/trimer/1x1x1",120,1.02
polyamide,"poly(1,5-bis(3-aminophenyl)penta-1,4-dien-3-one-co-benzene-1,3-dicarboxylic acid)","polymer_update/polyamide/poly(1,5-bis(3-aminophenyl)penta-1,4-dien-3-one-co-benzene-1,3-dicarboxylic acid)/trimer/1x1x1",147,1.21
polyamide,"poly(4-[4-[4-[9-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]fluoren-9-yl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-benzene-1,3-dicarboxylic acid)","polymer_update/polyamide/poly(4-[4-[4-[9-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]fluoren-9-yl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-benzene-1,3-dicarboxylic acid)/trimer/1x1x1",324,1.253
polyester,"poly(ethane-1,2-diol-co-2-phenyl-2,3-dihydroindene-1,1-dicarboxylic acid)","polymer_update/polyester/poly(ethane-1,2-diol-co-2-phenyl-2,3-dihydroindene-1,1-dicarboxylic acid)/trimer/1x1x1",120,1.19
polyester,"poly(butane-1,4-diol-co-nonanedioic acid)","polymer_update/polyester/poly(butane-1,4-diol-co-nonanedioic acid)/trimer/1x1x1",120,1.11
polyester,"poly([4-(hydroxymethyl)cyclohexyl]methanol-co-cyclohexane-1,4-dicarboxylic acid)","polymer_update/polyester/poly([4-(hydroxymethyl)cyclohexyl]methanol-co-cyclohexane-1,4-dicarboxylic acid)/trimer/1x1x1",135,1.14
polyester,"poly(hexane-1,6-diol-co-furan-2,5-dicarboxylic acid)","polymer_update/polyester/poly(hexane-1,6-diol-co-furan-2,5-dicarboxylic acid)/trimer/1x1x1",96,1.27
